DateTime,Open,High,Low,Close,Volume
20161011093000 ,24033,24077,23993,24052,5260
20161011093500 ,24049,24057,23995,23998,3436
20161011094000 ,23998,24008,23947,23976,3826
20161011094500 ,23975,23979,23935,23940,2609
20161011095000 ,23939,23942,23886,23890,3508
20161011095500 ,23889,23897,23856,23871,2814
20161011100000 ,23870,23903,23868,23889,2805
20161011100500 ,23889,23896,23840,23845,2939
20161011101000 ,23844,23848,23782,23805,4233
20161011101500 ,23807,23837,23805,23828,2524
20161011102000 ,23830,23839,23803,23836,1946
20161011102500 ,23836,23848,23818,23818,1550
20161011103000 ,23818,23823,23759,23768,2723
20161011103500 ,23767,23810,23764,23787,2341
20161011104000 ,23788,23808,23783,23791,1197
20161011104500 ,23790,23792,23709,23711,3809
20161011105000 ,23713,23748,23710,23731,1559
20161011105500 ,23730,23740,23667,23678,3357
20161011110000 ,23677,23706,23652,23695,2621
20161011110500 ,23695,23716,23682,23708,1538
20161011111000 ,23709,23713,23671,23690,1573
20161011111500 ,23690,23703,23638,23640,1747
20161011112000 ,23640,23641,23507,23545,6623
20161011112500 ,23544,23589,23539,23569,2955
20161011113000 ,23569,23588,23552,23580,1840
20161011113500 ,23581,23581,23523,23557,2193
20161011114000 ,23558,23571,23490,23490,3934
20161011114500 ,23490,23515,23482,23502,2012
20161011115000 ,23505,23506,23456,23485,2072
20161011115500 ,23485,23520,23473,23510,1311
20161011125500 ,23509,23509,23509,23509,0
20161011130000 ,23520,23545,23493,23504,2174
20161011130500 ,23505,23532,23492,23527,1509
20161011131000 ,23526,23532,23512,23527,1078
20161011131500 ,23527,23529,23471,23495,1860
20161011132000 ,23496,23514,23487,23488,1030
20161011132500 ,23488,23516,23482,23514,1123
20161011133000 ,23513,23515,23493,23498,758
20161011133500 ,23497,23507,23489,23507,758
20161011134000 ,23505,23523,23497,23501,967
20161011134500 ,23502,23505,23490,23492,634
20161011135000 ,23491,23498,23453,23455,1676
20161011135500 ,23454,23460,23385,23440,3757
20161011140000 ,23438,23466,23437,23459,1358
20161011140500 ,23460,23464,23442,23443,948
20161011141000 ,23443,23452,23416,23438,1108
20161011141500 ,23439,23444,23381,23407,2532
20161011142000 ,23408,23437,23397,23434,1190
20161011142500 ,23434,23437,23386,23419,1353
20161011143000 ,23423,23446,23407,23440,1184
20161011143500 ,23440,23456,23430,23453,1210
20161011144000 ,23453,23462,23439,23450,1053
20161011144500 ,23451,23457,23442,23445,764
20161011145000 ,23445,23446,23413,23417,1318
20161011145500 ,23418,23418,23399,23408,1041
20161011150000 ,23411,23429,23400,23402,1329
20161011150500 ,23402,23442,23393,23433,1827
20161011151000 ,23434,23469,23431,23454,1814
20161011151500 ,23455,23457,23437,23450,1003
20161011152000 ,23447,23475,23444,23471,1321
20161011152500 ,23473,23480,23455,23470,1232
20161011153000 ,23470,23492,23469,23478,1484
20161011153500 ,23479,23492,23475,23475,915
20161011154000 ,23475,23476,23445,23459,1598
20161011154500 ,23459,23469,23452,23467,785
20161011155000 ,23469,23474,23453,23461,950
20161011155500 ,23462,23470,23454,23462,1417
20161011160000 ,23461,23478,23457,23477,1106
20161011160500 ,23476,23490,23475,23476,1293
20161011161000 ,23478,23480,23455,23455,1137
20161011161500 ,23455,23460,23443,23444,621
20161011162000 ,23444,23444,23418,23430,643
20161011162500 ,23430,23436,23413,23425,827
20161011171500 ,23423,23424,23400,23419,313
20161011172000 ,23417,23428,23413,23419,176
20161011172500 ,23418,23425,23415,23425,127
20161011173000 ,23424,23430,23418,23425,134
20161011173500 ,23421,23424,23414,23421,102
20161011174000 ,23420,23434,23420,23433,148
20161011174500 ,23435,23441,23433,23440,98
20161011175000 ,23442,23448,23435,23448,89
20161011175500 ,23449,23454,23439,23447,132
20161011180000 ,23449,23452,23432,23439,112
20161011180500 ,23438,23440,23429,23435,104
20161011181000 ,23436,23445,23431,23444,62
20161011181500 ,23444,23447,23440,23445,50
20161011182000 ,23441,23444,23434,23442,41
20161011182500 ,23443,23451,23441,23449,67
20161011183000 ,23451,23465,23445,23461,151
20161011183500 ,23461,23463,23453,23461,59
20161011184000 ,23460,23461,23449,23455,82
20161011184500 ,23454,23467,23451,23464,103
20161011185000 ,23460,23460,23450,23455,136
20161011185500 ,23455,23461,23449,23451,56
20161011190000 ,23451,23465,23450,23464,84
20161011190500 ,23464,23468,23449,23454,106
20161011191000 ,23455,23466,23455,23460,52
20161011191500 ,23462,23464,23452,23455,54
20161011192000 ,23456,23459,23446,23451,65
20161011192500 ,23453,23454,23441,23441,123
20161011193000 ,23445,23455,23445,23446,67
20161011193500 ,23445,23459,23445,23457,36
20161011194000 ,23459,23463,23453,23458,48
20161011194500 ,23457,23459,23452,23452,44
20161011195000 ,23454,23461,23448,23450,78
20161011195500 ,23447,23450,23417,23440,403
20161011200000 ,23440,23440,23428,23436,148
20161011200500 ,23436,23436,23423,23430,158
20161011201000 ,23427,23436,23422,23436,130
20161011201500 ,23436,23438,23433,23436,121
20161011202000 ,23436,23441,23425,23440,208
20161011202500 ,23440,23449,23439,23448,111
20161011203000 ,23449,23450,23434,23441,64
20161011203500 ,23439,23447,23439,23444,17
20161011204000 ,23443,23449,23443,23447,39
20161011204500 ,23447,23454,23440,23442,73
20161011205000 ,23446,23453,23444,23448,55
20161011205500 ,23447,23456,23447,23454,52
20161011210000 ,23455,23462,23451,23457,68
20161011210500 ,23458,23458,23443,23447,109
20161011211000 ,23447,23447,23437,23439,107
20161011211500 ,23439,23447,23434,23444,105
20161011212000 ,23445,23452,23440,23445,69
20161011212500 ,23445,23464,23443,23462,147
20161011213000 ,23462,23472,23435,23444,525
20161011213500 ,23445,23458,23429,23430,375
20161011214000 ,23430,23449,23428,23441,223
20161011214500 ,23441,23446,23430,23439,244
20161011215000 ,23438,23438,23405,23414,450
20161011215500 ,23411,23424,23405,23417,252
20161011220000 ,23420,23421,23402,23411,259
20161011220500 ,23412,23425,23411,23421,168
20161011221000 ,23421,23422,23382,23395,493
20161011221500 ,23393,23394,23384,23388,254
20161011222000 ,23387,23405,23386,23399,244
20161011222500 ,23399,23409,23389,23401,250
20161011223000 ,23401,23418,23400,23416,200
20161011223500 ,23414,23414,23403,23403,108
20161011224000 ,23403,23413,23402,23408,147
20161011224500 ,23407,23413,23403,23410,187
20161011225000 ,23411,23411,23398,23408,164
20161011225500 ,23406,23413,23383,23388,242
20161011230000 ,23387,23393,23370,23371,432
20161011230500 ,23371,23377,23364,23368,271
20161011231000 ,23367,23370,23356,23357,181
20161011231500 ,23358,23364,23343,23356,408
20161011232000 ,23352,23352,23336,23348,231
20161011232500 ,23345,23354,23322,23327,400
20161011233000 ,23326,23341,23323,23337,237
20161011233500 ,23337,23341,23331,23335,238
20161011234000 ,23333,23335,23313,23318,370
20161011234500 ,23318,23318,23318,23318,0
